id,item_id,response,timeTaken,session_id,score,trait
1419,23,d,5.825746059,i151,1,gc
1420,68,e,9.101238966,i150,1,gf30
1421,24,a,5.680569887,i151,1,gc
1422,49,e,7.269424915,i150,0,gf30
1423,25,a,5.545356989,i151,1,gc
1424,26,d,5.523438931,i151,1,gc
1425,27,b,9.586685896,i151,1,gc
1426,67,c,19.94778299,i150,0,gf30
1427,28,b,6.782193899,i151,1,gc
1428,29,d,4.360833883,i151,1,gc
1429,30,b,5.206267118,i151,1,gc
1430,41,a,15.44665289,i150,0,gf30
1431,62,e,9.966593981,i150,1,gf30
1432,31,b,16.56687903,i151,1,gc
1433,32,d,7.289391041,i151,1,gc
1434,72,a,13.60493994,i150,0,gf30
1435,33,a,5.434320927,i151,0,gc
1436,54,b,11.08843303,i150,1,gf30
1437,52,c,7.114161015,i150,0,gf30
1438,34,d,25.64069605,i151,1,gc
1439,77,e,10.447438,i150,0,gf30
1440,59,e,10.64390802,i150,0,gf30
1441,75,b,18.31279111,i151,1,gc
1442,40,d,14.14470506,i150,0,gf30
1443,67,a,11.20445299,i151,0,gc
1444,57,e,12.99793506,i150,0,gf30
1445,102,a,9.980360985,i151,0,gc
1446,106,a,11.71481609,i151,1,gc
1447,91,b,9.444768906,i151,0,gc
1448,76,a,9.139594078,i151,0,gc
1449,37,d,10.37291694,i150,1,gf30
1450,88,c,14.08523798,i151,0,gc
1451,71,d,9.51213789,i151,1,gc
1452,80,c,16.13575196,i150,0,gf60
1453,98,d,7.024105072,i151,0,gc
1454,39,a,14.13036394,i150,0,gf60
1455,80,a,11.85673594,i151,1,gc
1456,34,b,4.982038975,i150,1,gf60
1457,79,b,11.16932201,i151,1,gc
1458,66,d,11.5027051,i150,0,gf60
1459,70,c,14.46613789,i150,0,gf60
1460,84,b,16.75816107,i151,0,gc
1461,60,c,12.11190605,i150,0,gf60
1462,77,d,12.81966805,i151,1,gc
1463,97,d,10.73857093,i151,0,gc
1464,55,c,17.97055292,i150,1,gf60
1465,107,b,9.777327061,i151,0,gc
1466,70,b,7.549720049,i151,0,gc
1467,82,b,9.067989111,i151,1,gc
1468,38,b,28.16424298,i150,0,gf60
1469,81,b,16.7757659,i151,0,gc
1470,65,c,12.25058293,i150,1,gf60
1471,104,c,8.50267911,i151,0,gc
1472,50,a,7.141526937,i150,0,gf60
1473,100,a,14.52892089,i151,0,gc
1474,71,c,13.46424103,i150,1,gf60
1475,78,b,11.88897896,i151,1,gc
1476,95,d,10.76064706,i151,0,gc
1477,61,d,18.74097705,i150,0,gf60
1478,90,b,10.29184389,i151,0,gc
1479,44,c,16.5081439,i150,1,gf60
1480,83,c,14.48769403,i151,0,gc
1481,51,e,13.68140507,i150,0,gf60
1482,69,b,18.0657959,i151,0,gc
1483,56,c,16.1469419,i150,0,gf60
1484,72,b,9.913809061,i151,1,gc
1485,74,a,9.325545073,i151,1,gc
1486,79,b,14.52741194,i150,0,gf60
1487,85,c,10.10907602,i151,1,gc
1488,43,b,17.76584005,i150,0,gf60
1489,87,c,9.380996943,i151,1,gc
1490,92,a,9.3075459,i151,1,gc
1491,73,b,10.66154408,i151,0,gc
1492,86,a,6.948906898,i151,1,gc
1493,89,a,9.971338987,i151,1,gc
1494,99,d,7.330928087,i151,0,gc
1495,96,a,13.99788094,i151,1,gc
1496,94,,7,i151,0,gc
1497,1,,91.81889296,i152,1,gv
1498,11,d,17.9363811,i153,1,gf30
1499,2,,22.56411791,i152,1,gv
1500,12,c,24.22515297,i153,1,gf30
1501,3,,23.99794412,i152,1,gv
1502,13,d,27.29576993,i153,0,gf30
1503,4,,26.48638797,i152,1,gv
1504,14,b,27.8772049,i153,0,gf30
1505,21,,14.09178495,i152,0,gv
1506,22,same,8.275804996,i152,1,gv
1507,15,d,21.69887209,i153,1,gf30
1508,23,different,11.37814808,i152,1,gv
1509,24,same,12.58481312,i152,0,gv
1510,25,same,6.391450882,i152,1,gv
1511,26,same,7.984778881,i152,1,gv
1512,29,e,31.16578007,i153,0,gf60
1513,27,same,9.297735929,i152,0,gv
1514,28,different,7.868294001,i152,1,gv
1515,29,same,9.84009409,i152,1,gv
1516,30,b,26.46918702,i153,1,gf60
1517,30,same,10.61688995,i152,1,gv
1518,31,same,12.22213697,i152,0,gv
1519,31,d,23.10170889,i153,1,gf60
1520,32,same,7.109628916,i152,1,gv
1521,33,same,10.21708393,i152,1,gv
1522,34,same,6.939256907,i152,1,gv
1523,35,same,10.69074202,i152,0,gv
1524,36,same,9.839953899,i152,0,gv
1525,32,e,41.35816312,i153,0,gf60
1526,37,same,11.95029211,i152,1,gv
1527,33,a,11.38055205,i153,0,gf60
1528,38,same,9.992439985,i152,0,gv
1529,1,b,8.124211073,i153,1,gf30
1530,2,b,3.822679996,i153,1,gf30
1531,39,same,15.65021801,i152,1,gv
1532,3,d,10.18325496,i153,1,gf30
1533,4,a,6.207916975,i153,1,gf30
1534,40,same,12.955441,i152,0,gv
1535,5,d,13.215518,i153,1,gf30
1536,41,same,12.5811131,i152,1,gv
1537,6,c,5.751600027,i153,1,gf30
1538,42,different,11.33124495,i152,1,gv
1539,7,a,11.44544291,i153,1,gf30
1540,8,b,7.248915911,i153,1,gf30
1541,9,c,7.119889975,i153,1,gf30
1542,43,same,16.24060202,i152,1,gv
1543,10,c,9.134315968,i153,1,gf30
1544,44,same,14.64831996,i152,1,gv
1545,45,same,11.2722981,i152,0,gv
1546,16,,22.96613503,i153,0,gf30
1547,46,same,18.81286311,i152,0,gv
1548,17,,26.46310902,i153,0,gf30
1549,47,different,13.6423521,i152,1,gv
1550,48,same,11.66040707,i152,1,gv
1551,49,same,10.23159909,i152,1,gv
1552,50,same,9.378174067,i152,0,gv
1553,18,b,32.04521203,i153,0,gf60
1554,51,same,9.506942034,i152,0,gv
1555,19,b,20.47517204,i153,1,gf60
1556,52,same,15.67769909,i152,1,gv
1557,20,b,10.89771008,i153,1,gf60
1558,5,different,8.56342411,i152,1,gv
1559,21,a,20.53231192,i153,0,gf60
1560,6,same,4.414028883,i152,1,gv
1561,7,different,5.193571091,i152,1,gv
1562,8,same,3.814100981,i152,1,gv
1563,9,same,4.133394003,i152,0,gv
1564,10,different,5.877337933,i152,0,gv
1565,22,d,21.39906597,i153,1,gf60
1566,11,same,3.899600983,i152,1,gv
1567,12,same,5.278139114,i152,0,gv
1568,13,same,3.336289883,i152,1,gv
1569,14,different,7.232882977,i152,1,gv
1570,15,same,5.791508913,i152,0,gv
1571,23,d,22.16666198,i153,0,gf60
1572,16,same,19.45498896,i152,1,gv
1573,17,same,6.826848984,i152,0,gv
1574,24,c,29.04520512,i153,1,gf60
1575,18,same,6.511639118,i152,1,gv
1576,19,same,6.254426003,i152,0,gv
1577,20,same,15.41838002,i152,0,gv
1578,25,a,35.99665308,i153,0,gf60
1579,57,same,10.11342812,i152,0,gv
1580,59,different,4.387044907,i152,1,gv
1581,26,e,13.13747311,i153,1,gf60
1582,66,same,12.23919606,i152,1,gv
1583,60,different,8.565964937,i152,0,gv
1584,71,same,10.35619712,i152,1,gv
1585,27,c,29.02734303,i153,1,gf60
1586,55,same,11.82303405,i152,0,gv
1587,54,same,8.622912884,i152,1,gv
1588,53,same,8.579102039,i152,1,gv
1589,69,same,5.291124105,i152,1,gv
1590,72,different,4.534193993,i152,1,gv
1591,67,same,4.631649017,i152,0,gv
1592,28,e,37.67093611,i153,1,gf60
1593,58,same,9.549690962,i152,1,gv
1594,65,different,13.95507908,i152,0,gv
1595,69,d,23.28161001,i153,0,gf30
1596,62,same,15.03600907,i152,1,gv
1597,64,different,8.824958086,i152,1,gv
1598,70,different,6.410437107,i152,0,gv
1599,78,e,29.63161397,i153,1,gf30
1600,56,same,12.33622909,i152,0,gv
1601,63,same,8.276988029,i152,1,gv
1602,54,b,18.72021294,i153,1,gf30
1603,68,different,5.693120003,i152,1,gv
1604,61,different,6.636396885,i152,1,gv
1605,53,f,24.42519999,i153,1,gf30
1606,46,d,10.32073402,i153,1,gf30
1607,41,d,30,i153,0,gf30
1608,64,c,9.195939064,i153,0,gf30
1609,47,b,5.683221102,i153,1,gf30
1610,52,e,18.77496195,i153,0,gf30
1611,62,e,9.213741064,i153,1,gf30
1612,48,e,5.887741089,i153,0,gf30
1613,72,b,21.22760105,i153,0,gf30
1614,73,b,6.217120886,i153,0,gf30
1615,75,e,19.42984509,i153,0,gf30
1616,49,a,16.28870797,i153,1,gf30
1617,76,b,4.243501902,i153,0,gf30
1618,37,d,11.91731811,i153,1,gf30
1619,67,c,9.112535,i153,0,gf30
1620,68,b,10.01464105,i153,0,gf30
1621,74,c,10.03522396,i153,1,gf30
1622,42,d,8.533593893,i153,1,gf30
1623,36,d,25.38431406,i156,1,gc
1624,40,,30,i153,0,gf30
1625,37,,30,i156,0,gc
1626,77,d,7.707341909,i153,0,gf30
1627,63,e,5.45749402,i153,1,gf30
1628,45,c,3.038674116,i153,0,gf30
1629,59,c,2.309385061,i153,0,gf30
1630,58,c,4.211347103,i153,0,gf30
1631,57,d,1.961657047,i153,1,gf30
1632,50,c,5.037341118,i153,0,gf60
1633,56,e,3.950593948,i153,0,gf60
1634,66,b,2.924772978,i153,0,gf60
1635,44,b,7.496731997,i153,0,gf60
1636,51,c,12.85293603,i153,0,gf60
1637,61,f,4.196274996,i153,0,gf60
1638,65,e,5.560869932,i153,0,gf60
1639,39,b,3.734591007,i153,1,gf60
1640,71,a,3.037261009,i153,0,gf60
1641,43,c,5.311141014,i153,0,gf60
1642,80,d,3.708911896,i153,0,gf60
1643,38,a,3.506870985,i153,1,gf60
1644,60,c,2.667412996,i153,0,gf60
1645,34,c,2.49711895,i153,0,gf60
1646,79,b,5.049175024,i153,0,gf60
1647,70,b,3.788513899,i153,1,gf60
1648,55,d,4.797252893,i153,0,gf60
1649,1,,43.29864812,i167,1,gv
1650,2,,13.5422709,i167,1,gv
1651,3,,13.68067408,i167,1,gv
1652,4,,14.29528904,i167,1,gv
1653,21,,6.431467056,i167,1,gv
1654,22,different,7.147160053,i167,0,gv
1655,23,same,4.741473913,i167,0,gv
1656,24,same,8.616064072,i167,0,gv
1657,25,same,5.378272057,i167,1,gv
1658,26,same,10.53346992,i167,1,gv
1659,27,same,6.8354249,i167,0,gv
1660,28,different,8.422133923,i167,1,gv
1661,29,different,8.20579195,i167,0,gv
1662,30,different,21.8199091,i167,0,gv
1663,31,different,5.864563942,i167,1,gv
1664,32,same,11.53758407,i167,1,gv
1665,36,d,26.43822503,i171,1,gc
1666,37,b,7.749684095,i171,1,gc
1667,33,same,26.00366592,i167,1,gv
1668,38,d,10.59184694,i171,0,gc
1669,34,same,10.41041303,i167,1,gv
1670,35,different,3.5197649,i167,1,gv
1671,39,c,10.53203893,i171,1,gc
1672,36,same,4.039864063,i167,0,gv
1673,37,same,7.991930008,i167,1,gv
1674,40,a,14.42272711,i171,0,gc
1675,38,different,7.865788937,i167,1,gv
1676,39,different,5.999315023,i167,0,gv
1677,40,same,6.655813932,i167,0,gv
1678,41,b,14.31441498,i171,1,gc
1679,42,b,8.666266918,i171,0,gc
1680,41,different,14.96836305,i167,0,gv
1681,43,c,8.377605915,i171,1,gc
1682,42,different,11.11105609,i167,1,gv
1683,44,c,8.330318928,i171,0,gc
1684,43,different,3.634706974,i167,0,gv
1685,45,d,7.03946805,i171,1,gc
1686,44,same,7.904390097,i167,1,gv
1687,46,c,7.058322906,i171,0,gc
1688,45,same,5.266748905,i167,0,gv
1689,46,same,4.34017992,i167,0,gv
1690,48,a,9.070890903,i171,1,gc
1691,47,same,4.390918016,i167,0,gv
1692,48,different,2.412964106,i167,0,gv
1693,49,same,5.505026102,i167,1,gv
1694,49,b,7.948684931,i171,0,gc
1695,50,same,10.89418602,i167,0,gv
1696,50,b,12.00779104,i171,0,gc
1697,51,different,6.637633085,i167,1,gv
1698,52,different,5.401631117,i167,0,gv
1699,51,c,10.85068011,i171,1,gc
1700,53,b,6.09032011,i171,0,gc
1701,54,c,11.21774912,i171,1,gc
1702,55,d,10.61546803,i171,1,gc
1703,5,different,10.23368001,i167,1,gv
1704,56,a,8.889957905,i171,0,gc
1705,6,same,4.334286928,i167,1,gv
1706,7,different,4.094229937,i167,1,gv
1707,57,a,6.330343962,i171,1,gc
1708,8,different,3.105317116,i167,0,gv
1709,58,d,5.352684975,i171,1,gc
1710,9,different,5.782861948,i167,1,gv
1711,59,d,7.061459064,i171,0,gc
1712,10,same,4.800782919,i167,1,gv
1713,11,same,4.093974113,i167,1,gv
1714,60,c,8.795330048,i171,0,gc
1715,12,different,9.181621075,i167,1,gv
1716,62,a,5.554013968,i171,1,gc
1717,13,same,5.147955894,i167,1,gv
1718,63,c,7.631642103,i171,1,gc
1719,14,different,7.191852093,i167,1,gv
1720,15,same,4.25591898,i167,0,gv
1721,64,d,11.49046493,i171,1,gc
1722,65,d,7.165113926,i171,0,gc
1723,16,same,9.524529934,i167,1,gv
1724,17,different,8.231882095,i167,1,gv
1725,66,c,8.568865061,i171,1,gc
1726,4,b,5.85512495,i171,1,gc
1727,18,same,6.021864891,i167,1,gv
1728,5,c,3.705054045,i171,1,gc
1729,19,different,3.895406008,i167,1,gv
1730,6,d,3.821434975,i171,1,gc
1731,20,same,6.454297066,i167,0,gv
1732,7,c,4.754004955,i171,1,gc
1733,8,a,3.723604918,i171,1,gc
1734,53,same,5.476130962,i167,1,gv
1735,9,a,5.625706911,i171,1,gc
1736,10,a,3.967248917,i171,1,gc
1737,56,different,4.702914,i167,1,gv
1738,11,c,6.390290022,i171,1,gc
1739,12,a,3.420406103,i171,1,gc
1740,13,a,4.532680035,i171,1,gc
1741,57,different,13.23351002,i167,1,gv
1742,14,a,4.223663092,i171,1,gc
1743,15,c,4.412296057,i171,1,gc
1744,62,different,7.575000048,i167,0,gv
1745,16,d,5.690851927,i171,1,gc
1746,17,b,7.796335936,i171,1,gc
1747,71,same,13.79766011,i167,1,gv
1748,18,d,3.642782927,i171,1,gc
1749,66,different,4.126420975,i167,0,gv
1750,19,a,6.09869504,i171,1,gc
1751,68,different,7.097845078,i167,1,gv
1752,21,b,5.714020967,i171,1,gc
1753,55,same,4.734405994,i167,0,gv
1754,22,a,4.665298939,i171,1,gc
1755,23,d,6.497071981,i171,1,gc
1756,70,same,10.770684,i167,1,gv
1757,24,a,6.060192108,i171,1,gc
1758,67,different,5.599817991,i167,1,gv
1759,25,a,4.613184929,i171,1,gc
1760,72,different,5.291340113,i167,1,gv
1761,26,d,5.641876936,i171,1,gc
1762,27,b,5.660801888,i171,1,gc
1763,65,same,11.45204306,i167,1,gv
1764,59,different,4.486285925,i167,1,gv
1765,28,b,8.141752005,i171,1,gc
1766,29,d,3.997416973,i171,1,gc
1767,64,same,7.057581902,i167,0,gv
1768,30,b,4.709796906,i171,1,gc
1769,31,a,6.443732977,i171,0,gc
1770,69,same,7.523526907,i167,1,gv
1771,32,d,6.272897959,i171,1,gc
1772,63,same,8.126979113,i167,1,gv
1773,60,different,6.577759027,i167,0,gv
1774,33,c,9.243634939,i171,1,gc
1775,61,different,5.334563971,i167,1,gv
1776,34,a,6.730114937,i171,0,gc
1777,58,same,6.874208927,i167,1,gv
1778,103,b,10.35209107,i171,0,gc
1779,54,different,7.589147091,i167,0,gv
1780,72,a,7.973784924,i171,0,gc
1781,90,c,8.734886885,i171,1,gc
1782,100,b,7.53508997,i171,1,gc
1783,79,d,10.16944003,i171,0,gc
1784,80,c,10.24001598,i171,0,gc
1785,98,a,9.007200956,i171,1,gc
1786,104,b,7.314230919,i171,0,gc
1787,82,a,6.482573032,i171,0,gc
1788,88,b,7.312167883,i171,0,gc
1789,73,d,6.501235008,i171,1,gc
1790,86,b,5.421468973,i171,0,gc
1791,92,b,7.242923975,i171,0,gc
1792,67,d,4.858172894,i171,0,gc
1793,76,d,9.090545893,i171,1,gc
1794,95,d,7.058926105,i171,0,gc
1795,97,d,6.742456913,i171,0,gc
1796,107,b,8.604964018,i171,0,gc
1797,105,c,7.117566109,i171,0,gc
1798,106,a,6.288552046,i171,1,gc
1799,75,b,6.638421059,i171,1,gc
1800,91,b,8.901501894,i171,0,gc
1801,93,c,7.367522955,i171,0,gc
1802,81,b,5.729231119,i171,0,gc
1803,102,a,7.888550997,i171,0,gc
1804,84,a,9.931211948,i171,1,gc
1805,70,d,8.39685607,i171,1,gc
1806,94,d,6.114716053,i171,0,gc
1807,74,a,7.647279978,i171,1,gc
1808,71,b,7.191314936,i171,0,gc
1809,77,c,4.131418943,i171,0,gc
1810,69,b,5.829624891,i171,0,gc
1811,89,c,8.782970905,i171,0,gc
1812,99,c,6.071105957,i171,0,gc
1813,101,c,4.98465991,i171,0,gc
1814,78,d,9.056395054,i171,0,gc
1815,85,c,9.502193928,i171,1,gc
1816,87,c,7.753264904,i171,1,gc
1817,83,b,6.938426971,i171,1,gc
1818,96,d,8.204013109,i171,0,gc
1819,11,d,22.37894392,i162,1,gf30
1820,12,a,5.782622099,i162,0,gf30
1821,1,,29.1821909,i164,0,gv
1822,36,,30,i157,0,gc
1823,13,c,20.94439006,i162,1,gf30
1824,14,b,15.86499691,i162,0,gf30
1825,2,,28.00836301,i164,1,gv
1826,37,d,26.00770807,i157,0,gc
1827,15,b,11.61827803,i162,0,gf30
1828,38,a,17.10510397,i157,0,gc
1829,11,b,30.9676311,i174,1,gwm
1830,36,,30,i176,0,gc
1831,39,c,11.81141496,i157,1,gc
1832,29,a,28.92715597,i162,0,gf60
1833,3,,30.11397004,i164,1,gv
1834,36,,30,i172,0,gc
1835,40,c,8.889662981,i157,1,gc
1836,30,d,14.06656003,i162,0,gf60
1837,41,d,9.892654896,i157,0,gc
1838,12,a,26.8996501,i174,0,gwm
1839,42,b,7.42121911,i157,0,gc
1840,31,b,12.20932889,i162,0,gf60
1841,37,,30,i176,0,gc
1842,43,c,8.39182806,i157,1,gc
1843,32,c,12.07827806,i162,0,gf60
1844,37,,30,i172,0,gc
1845,4,,38.89938402,i164,0,gv
1846,44,b,10.47080302,i157,1,gc
1847,33,d,8.106462955,i162,1,gf60
1848,1,b,4.355076075,i162,1,gf30
1849,45,c,11.2914741,i157,0,gc
1850,21,,14.05995393,i164,0,gv
1851,2,b,4.976097107,i162,1,gf30
1852,13,,40,i174,0,gwm
1853,46,a,8.829350948,i157,0,gc
1854,22,different,12.86349893,i164,0,gv
1855,3,d,13.9810369,i162,1,gf30
1856,48,c,10.85057306,i157,0,gc
1857,4,a,6.923382044,i162,1,gf30
1858,23,different,12.6631391,i164,1,gv
1859,5,d,7.244680882,i162,1,gf30
1860,49,d,11.31026006,i157,0,gc
1861,14,d,24.38312411,i174,0,gwm
1862,6,c,9.157571077,i162,1,gf30
1863,24,different,13.15285301,i164,1,gv
1864,50,c,14.01110411,i157,0,gc
1865,7,a,7.038337946,i162,1,gf30
1866,8,b,8.489293098,i162,1,gf30
1867,25,different,16.34860897,i164,0,gv
1868,51,a,14.76981592,i157,0,gc
1869,9,a,7.279242992,i162,0,gf30
1870,26,different,10.29323006,i164,0,gv
1871,10,b,7.4883039,i162,0,gf30
1872,15,d,35.26975989,i174,0,gwm
1873,53,b,11.36095095,i157,0,gc
1874,27,same,7.017333984,i164,0,gv
1875,54,c,9.109309912,i157,1,gc
1876,28,different,8.402569056,i164,1,gv
1877,16,,17.38481808,i162,1,gf30
1878,55,a,8.994112968,i157,0,gc
1879,16,c,19.84457803,i174,1,gwm
1880,29,different,8.735493898,i164,0,gv
1881,30,same,11.49839497,i164,1,gv
1882,17,a,22.16062903,i174,1,gwm
1883,31,same,10.9993279,i164,0,gv
1884,17,,31.67540503,i162,1,gf30
1885,56,a,28.78031802,i157,0,gc
1886,32,same,14.35941195,i164,1,gv
1887,18,a,12.08105612,i162,0,gf60
1888,33,same,7.660983086,i164,1,gv
1889,19,d,9.779249907,i162,0,gf60
1890,57,b,23.54627109,i157,0,gc
1891,34,same,14.95762205,i164,1,gv
1892,58,d,12.45746899,i157,1,gc
1893,35,different,5.721330881,i164,1,gv
1894,18,d,40,i174,1,gwm
1895,20,c,17.97683692,i162,0,gf60
1896,36,same,13.96024394,i164,0,gv
1897,59,b,15.24610901,i157,0,gc
1898,19,c,21.11946106,i174,0,gwm
1899,21,d,18.11945891,i162,0,gf60
1900,37,same,9.208590031,i164,1,gv
1901,60,d,10.92013788,i157,0,gc
1902,38,different,5.445476055,i164,1,gv
1903,39,same,4.10579896,i164,1,gv
1904,62,b,7.274923086,i157,0,gc
1905,40,different,3.439564943,i164,1,gv
1906,63,b,7.620914936,i157,0,gc
1907,41,same,7.393995047,i164,1,gv
1908,22,c,21.13027191,i162,0,gf60
1909,64,b,6.90545702,i157,0,gc
1910,20,a,28.11651492,i174,0,gwm
1911,42,different,10.01248288,i164,1,gv
1912,65,d,8.99495101,i157,0,gc
1913,43,different,9.93504405,i164,0,gv
1914,66,d,13.54175806,i157,0,gc
1915,44,same,7.080977917,i164,1,gv
1916,45,same,5.980916977,i164,0,gv
1917,46,different,3.527112007,i164,1,gv
1918,21,f,27.12064505,i174,0,gwm
1919,47,same,3.337783098,i164,0,gv
1920,48,different,2.813060999,i164,0,gv
1921,49,different,3.276840925,i164,0,gv
1922,23,c,41.52829003,i162,0,gf60
1923,4,d,23.71462607,i157,0,gc
1924,50,same,10.01785493,i164,0,gv
1925,24,b,10.61546302,i162,0,gf60
1926,22,a,19.72527504,i174,0,gwm
1927,5,c,7.134072065,i157,1,gc
1928,25,c,9.677773952,i162,0,gf60
1929,6,d,7.523082972,i157,1,gc
1930,51,same,12.4040041,i164,0,gv
1931,52,different,3.151742935,i164,0,gv
1932,7,c,6.121792078,i157,1,gc
1933,8,a,5.891536951,i157,1,gc
1934,26,c,15.66111112,i162,0,gf60
1935,9,a,5.811789036,i157,1,gc
1936,10,a,5.704387903,i157,1,gc
1937,23,b,30.22288489,i174,1,gwm
1938,11,c,6.488143921,i157,1,gc
1939,12,a,5.53241396,i157,1,gc
1940,27,e,19.23337603,i162,0,gf60
1941,5,different,11.01515794,i164,1,gv
1942,13,a,8.820223093,i157,1,gc
1943,14,a,10.94027901,i157,1,gc
1944,28,b,19.08478189,i162,0,gf60
1945,6,same,14.89331007,i164,1,gv
1946,24,a,39.06839395,i174,1,gwm
1947,15,c,11.05699897,i157,1,gc
1948,7,same,8.598855972,i164,0,gv
1949,37,b,14.43204999,i162,0,gf30
1950,16,d,6.143735886,i157,1,gc
1951,8,same,12.57881689,i164,1,gv
1952,57,b,8.741449118,i162,0,gf30
1953,17,d,7.914648056,i157,0,gc
1954,9,different,7.388168097,i164,1,gv
1955,18,d,8.211657047,i157,1,gc
1956,73,e,12.62681103,i162,1,gf30
1957,25,d,26.71643305,i174,1,gwm
1958,19,d,9.123296022,i157,0,gc
1959,10,different,12.6237359,i164,0,gv
1960,21,b,7.087579012,i157,1,gc
1961,11,same,5.926496029,i164,1,gv
1962,64,c,15.42735696,i162,0,gf30
1963,22,c,7.672468901,i157,0,gc
1964,12,same,13.81005692,i164,0,gv
1965,78,c,11.96886206,i162,0,gf30
1966,23,d,8.327790022,i157,1,gc
1967,48,e,6.460535049,i162,0,gf30
1968,24,a,6.516757965,i157,1,gc
1969,13,same,10.15171289,i164,1,gv
1970,25,a,7.591048002,i157,1,gc
1971,26,c,40,i174,0,gwm
1972,14,different,10.91444898,i164,1,gv
1973,26,d,10.77339005,i157,1,gc
1974,52,a,20.00078106,i162,0,gf30
1975,27,b,8.817864895,i157,1,gc
